2,Add Two Numbers,cc->data_structures->arrays->linkedlist->linkedlist_addition;cc->mathematics->addition->carry,linkedlist,"Add digits node by node with carry, build a new result list. Keep track of carry for any leftover."
3,Longest Substring Without Repeating Characters,cc->data_structures->two_pointers->sliding_window;cc->computer_science_basics->hashing,map,"Use two pointers and a set/map to track used chars. Move the start pointer when a char repeats, and record the max length."
5,Longest Palindromic Substring,cc->data_structures->strings->expand_around_center;cc->algorithm_design->dp,,"For each center (character or gap), expand outwards to find palindromes. Keep track of the max length found."
7,Reverse Integer,cc->mathematics->math_manipulations;cc->computer_arithmetic->handle_overflow,,Reverse digits by mod/div operations and build the result. Watch for overflow bounds.
8,String to Integer (atoi),cc->data_structures->strings->string_parsing;cc->computer_science_basics->edge_cases,,"Strip spaces, handle sign, parse digits until non-digit. Clamp to integer bounds if overflow occurs."
11,Container With Most Water,cc->data_structures->two_pointers->two_pointer_approach,,"Start with left=0, right=n-1, compute area. Move the pointer with the smaller height inward, tracking max area."
15,3Sum,cc->data_structures->sorting->sorting;cc->data_structures->two_pointers->two_pointer,,"Sort the array, fix one number, then use two-pointer on the remainder. Skip duplicates and record valid triplets."
16,3Sum Closest,cc->data_structures->sorting->sorting;cc->data_structures->two_pointers->two_pointer,,"Sort, then fix one number and use two-pointer to find the sum closest to target. Track minimum difference."
17,Letter Combinations of a Phone Number,cc->algorithm_design->backtracking->backtracking;cc->data_structures->mappings->phone_keypad_mapping,,"Map each digit to letters, then recursively build possible strings. Collect all valid letter combinations."
18,4Sum,cc->data_structures->sorting->sorting;cc->data_structures->two_pointers->two_pointer,,"Sort the array, fix two numbers, then two-pointer the remaining part. Carefully skip duplicates."
19,Remove Nth Node From End of List,cc->data_structures->arrays->linkedlist;cc->algorithm_design->fast_slow_pointer,linkedlist,"Move fast pointer n steps, then move both until fast hits null. Remove the slow pointer’s next node."
22,Generate Parentheses,cc->algorithm_design->backtracking->backtracking_with_constraints,,"Recursively build parentheses strings, tracking '(' and ')' usage. Only add ')' when valid."
24,Swap Nodes in Pairs,cc->data_structures->linkedlist->linked_list_node_swaps,linkedlist,Swap every two adjacent nodes in the list. Update pointers carefully to maintain linkage.
29,Divide Two Integers,cc->mathematics->math;cc->computer_arithmetic->bit_manipulation,,Simulate division by repeated subtraction or shifting. Handle overflow and sign properly.
31,Next Permutation,cc->algorithm_basics->permutation_rearrangement,,"From the end, find the first decreasing pair. Swap with next larger element and reverse the suffix."
33,Search in Rotated Sorted Array,cc->algorithm_design->binary_search->binary_search_variant,,Identify which half is sorted based on mid vs boundaries. Narrow the search range accordingly.
34,Find First and Last Position of Element in Sorted Array,cc->algorithm_design->binary_search->binary_search_boundaries,,"Use binary search to find the leftmost occurrence, then another to find the rightmost. Return [-1,-1] if not found."
36,Valid Sudoku,cc->data_structures->hash_set->hash_sets_for_row_col_box,set,"For each row, column, and sub-box, ensure no duplicate digits. Use sets or direct boolean checks."
38,Count and Say,cc->algorithm_basics->string_generation_pattern,,Iteratively build the next sequence by describing the previous term’s consecutive digits.
40,Combination Sum II,cc->algorithm_design->backtracking->backtracking_with_sorted_input,,"Sort, then backtrack while skipping duplicates. Only take each candidate once at a given level."
43,Multiply Strings,cc->algorithm_basics->string_multiplication_simulation,,"Multiply each digit of one string by each digit of the other, summing partial products. Handle carry and leading zeros."
46,Permutations,cc->algorithm_design->backtracking->backtracking;cc->data_structures->swapping,,"Recursively choose each element as the first, swap, and generate permutations of the remainder."
48,Rotate Image,cc->data_structures->matrix->matrix_transpose;cc->data_structures->matrix->reverse,,"Transpose the matrix, then reverse each row to rotate 90 degrees in-place."
49,Group Anagrams,cc->data_structures->hash_set->hashing_by_sorted_key_or_char_count,map,"Sort each string or build a frequency key, store in a map from key to group of anagrams."
50,"Pow(x, n)",cc->mathematics->exponentiation->fast_exponentiation,,"Recursively divide n by 2, square the result. Handle odd exponents separately."
53,Maximum Subarray,cc->algorithm_design->dp->kadanes_algorithm,,"Iterate while keeping track of the current sum, reset if it drops below zero. Maintain max sum encountered."
54,Spiral Matrix,cc->algorithm_basics->simulation->simulation_of_boundary_loops,,Peel the matrix layer by layer in a spiral. Update boundaries after each loop.
55,Jump Game,cc->algorithm_design->greedy->greedy_max_reach,,"Track the furthest index reachable. If you cannot move forward, return false."
56,Merge Intervals,cc->data_structures->sorting->sorting;cc->algorithm_basics->merging,,Sort intervals by start. Merge overlapping intervals by taking the max end.
57,Insert Interval,cc->data_structures->intervals->intervals;cc->algorithm_design->merging,,"Locate insertion point, merge overlapping intervals, then insert the final merged result."
62,Unique Paths,cc->mathematics->combinatorics;cc->algorithm_design->dp,,Use either combinatorial formula or DP grid to count ways.
63,Unique Paths II,cc->algorithm_design->dp->dp_with_obstacle_handling,,"Same DP approach, but cells with obstacles get dp=0."
71,Simplify Path,cc->data_structures->stack->stack_for_directories,stack,"Split on '/', push valid dirs to stack, pop on '..', ignore '.' or empty segments."
72,Edit Distance,cc->algorithm_design->dp->dp_for_string_transformations,,"dp[i][j] = 1 + min(replace/delete/insert), or dp[i-1][j-1] if chars match."
73,Set Matrix Zeroes,cc->data_structures->matrix->matrix_marking_approach,,Track which rows/cols need zero; set them in a second pass.
75,Sort Colors,cc->algorithm_basics->dutch_national_flag_algorithm,,"Use three pointers to partition 0,1,2 in one pass."
78,Subsets,cc->algorithm_design->backtracking->backtracking;cc->data_structures->bitmask,,Generate all subsets via recursion or bitwise enumeration.
79,Word Search,cc->algorithm_design->dfs->dfs_backtracking_on_board,,"For each cell, DFS to match the word. Mark visited to avoid reuse."
80,Remove Duplicates from Sorted Array II,cc->data_structures->arrays->array_manipulation;cc->programming_basics->pointer_approach,array,Allow each element up to two occurrences. Overwrite beyond that limit in-place.
74,Search a 2D Matrix,cc->algorithm_design->binary_search->binary_search,,"Either flatten conceptually and do 1D binary search, or do row-col approach. Compare mid value with target."
93,Restore IP Addresses,cc->algorithm_design->backtracking->backtracking;cc->data_structures->segment_validation,,Partition string into 4 segments (0–255). Collect valid addresses.
98,Validate Binary Search Tree,cc->algorithm_design->recursion->recursion_with_range_bounds,tree,"Check each node’s value is within min/max, recurse left/right. Return false if out of bounds."
102,Binary Tree Level Order Traversal,cc->algorithm_design->bfs->bfs_by_levels,tree,"Queue the root, pop level nodes, push children. Collect levels in a list of lists."
103,Binary Tree Zigzag Level Order Traversal,cc->algorithm_design->bfs->bfs_with_direction_toggle,tree,"Same as level order, but reverse the list on alternate levels."
105,Construct Binary Tree from Preorder and Inorder Traversal,cc->data_structures->tree->tree_construction_with_index_lookups,tree,"Root is preorder[0]. Find it in inorder, recurse left and right."
113,Path Sum II,cc->algorithm_design->dfs->dfs_path_building,tree,"Track running sum down each path. If leaf sum equals target, add path to result."
114,Flatten Binary Tree to Linked List,cc->algorithm_design->dfs->dfs;cc->data_structures->pointer_re_linking,tree,"Flatten left subtree, attach it, then link to right. Update pointers carefully."
116,Populating Next Right Pointers in Each Node,cc->algorithm_design->bfs->tree_bfs;cc->recursion->perfect_tree_recursion,tree,Use level order or connect children as you go. Each node’s next = right sibling.
128,Longest Consecutive Sequence,cc->data_structures->set->set;cc->data_structures->union_find,set;unionfind,Use a set or union-find to track consecutive runs. Keep longest streak.
129,Sum Root to Leaf Numbers,cc->algorithm_design->dfs->dfs_building_integer,tree,Pass the current value*10 + node.val down. Sum at leaves.
131,Palindrome Partitioning,cc->algorithm_design->backtracking->backtracking;cc->data_structures->palindrome_check,,Partition string and check each substring is palindrome. Collect all valid ways.
133,Clone Graph,cc->data_structures->graph->graph_bfs_dfs_cloning,graph,"Keep a map old->new node. Traverse, creating cloned neighbors recursively or iteratively."
138,Copy List with Random Pointer,cc->data_structures->linkedlist->linked_list_mapping;cc->data_structures->linkedlist->weaving,linkedlist,"Either store old->new in a hash map, or weave cloned nodes in the original, then fix random links."
139,Word Break,cc->algorithm_design->dp->dp_substring_checks,,dp[i] is true if substring(0..i) can be broken into dictionary words. Check all j < i for substring in set.
146,LRU Cache,cc->data_structures->linkedlist->design_with_doubly_linked_list;cc->data_structures->hashmap->hash,linkedlist;map,"Use a hash map for O(1) access. A linked list tracks recency, moving recently accessed to the front."
150,Evaluate Reverse Polish Notation,cc->data_structures->stack->stack_for_rpn,stack,"Iterate tokens, push numbers, pop top two on operator, compute, push result. Return final stack top."
152,Maximum Product Subarray,cc->algorithm_design->dp->dp_tracking_min_max_up_to_current,,Negative flips min and max. Keep track of global maximum.
153,Find Minimum in Rotated Sorted Array,cc->algorithm_design->binary_search->binary_search_pivot,,Compare mid to edges. Narrow down to the segment where min lies.
151,Reverse Words in a String,cc->data_structures->strings->string_manipulation,,"Split by spaces, reverse the words, and rejoin. Trim extra spaces."
162,Find Peak Element,cc->algorithm_design->binary_search->binary_search;cc->computer_science_basics->linear_check,,"In O(log n), compare mid with mid+1 to decide which half to search. Or linearly check neighbors."
167,Two Sum II - Input Array Is Sorted,cc->data_structures->two_pointers->two_pointer_in_sorted_array,,"Start left=0, right=n-1, compare sum to target, adjust pointers inward."
173,Binary Search Tree Iterator,cc->data_structures->stack->inorder_stack_approach,tree;stack,"Push left nodes, pop top as next. After pop, push the node’s right subtree left path."
189,Rotate Array,cc->data_structures->arrays->reverse_array;cc->data_structures->arrays->auxiliary_array,array,"Reverse entire array, then reverse the two parts. Or shift elements using temp array."
198,House Robber,cc->algorithm_design->dp->dp_on_linear_houses,,dp[i] = max of dp[i-1] or nums[i] + dp[i-2]. Final dp[n-1] is the answer.
199,Binary Tree Right Side View,cc->algorithm_design->bfs->bfs;cc->algorithm_design->dfs->dfs_with_right_first,tree,"At each level, record the rightmost node. Or do a DFS with level track and store first visit."
200,Number of Islands,cc->algorithm_design->dfs->dfs_bfs_on_grid,array,"Traverse the grid, for each unvisited land, run DFS/BFS to mark the connected region, increment count."
207,Course Schedule,cc->data_structures->graph->graph_cycle_detection;cc->data_structures->graph->topological_sort,graph,"Create adjacency list. If there's a cycle, no solution. Otherwise, can finish courses."
209,Minimum Size Subarray Sum,cc->data_structures->two_pointers->sliding_window;cc->algorithm_design->subarray_sum->sliding_window_and_subarray_sum,,"Move end pointer, accumulate sum, shrink from start if sum >= target. Track min length."
210,Course Schedule II,cc->data_structures->graph->topological_sort,graph,"Use Kahn’s or DFS to produce a valid course order. If cycle, return empty array."
215,Kth Largest Element in an Array,cc->data_structures->heap->heap;cc->algorithm_design->selection->quickselect,heap,Use a min-heap of size k or partition approach. Return the k-th largest after partial sort.
227,Basic Calculator II,cc->data_structures->stack->stack;cc->programming_basics->direct_parse,stack,"Parse expression tokens. Use stack to store numbers, handle * / immediately. Compute + - at the end."
235,Lowest Common Ancestor of a Binary Search Tree,cc->data_structures->tree->bst_property_compare_values,tree,"Traverse from root. If both nodes < root, go left; if both > root, go right; else root is LCA."
236,Lowest Common Ancestor of a Binary Tree,cc->algorithm_design->recursion->tree_recursion,tree,"Recurse down; if we find p or q, bubble up. If both sides non-null, current node is LCA."
238,Product of Array Except Self,cc->algorithm_basics->prefix_suffix_multiplication,array,"Compute prefix products, then multiply with suffix product in second pass. O(1) extra space aside from output."
249,Group Shifted Strings,cc->data_structures->hashing->hash_pattern_differences,map,"For each string, build a relative shift signature. Group strings with identical shift signatures."
253,Meeting Rooms II,cc->data_structures->heap->min_heap;cc->algorithm_design->timeline->timeline_approach,heap,"Sort intervals by start, use a min-heap to track end times. Or separate start/end arrays and track usage."
286,Walls and Gates,cc->algorithm_design->bfs->multi_source_bfs,array,Put all gates (distance=0) in queue initially. BFS outward to fill distances to the nearest gate.
2265,Count Nodes Equal to Average of Subtree,cc->algorithm_design->dfs->tree_dfs_for_sum_count,tree,"Compute subtree sum and count. If node’s val == (sum/count), increment result."
314,Binary Tree Vertical Order Traversal,cc->algorithm_design->bfs->bfs_with_column_indices,tree,"Use a queue storing (node,col). Collect values in a map col->list, then output col-sorted lists."
