"2","Add Two Numbers","linkedlist_addition,carry","linkedlist","Add digits node by node with carry, build a new result list. Keep track of carry for any leftover."
"3","Longest Substring Without Repeating Characters","sliding_window,hashing","map","Use two pointers and a set/map to track used chars. Move the start pointer when a char repeats, and record the max length."
"5","Longest Palindromic Substring","expand_around_center,dp","","For each center (character or gap), expand outwards to find palindromes. Keep track of the max length found."
"7","Reverse Integer","math_manipulations,handle_overflow","","Reverse digits by mod/div operations and build the result. Watch for overflow bounds."
"8","String to Integer (atoi)","string_parsing,edge_cases","","Strip spaces, handle sign, parse digits until non-digit. Clamp to integer bounds if overflow occurs."
"11","Container With Most Water","two_pointer_approach","","Start with left=0, right=n-1, compute area. Move the pointer with the smaller height inward, tracking max area."
"15","3Sum","sorting,two_pointer","","Sort the array, fix one number, then use two-pointer on the remainder. Skip duplicates and record valid triplets."
"16","3Sum Closest","sorting,two_pointer","","Sort, then fix one number and use two-pointer to find the sum closest to target. Track minimum difference."
"17","Letter Combinations of a Phone Number","backtracking,phone_keypad_mapping","","Map each digit to letters, then recursively build possible strings. Collect all valid letter combinations."
"18","4Sum","sorting,two_pointer","","Sort the array, fix two numbers, then two-pointer the remaining part. Carefully skip duplicates."
"19","Remove Nth Node From End of List","linked_list,fast_slow_pointer","linkedlist","Move fast pointer n steps, then move both until fast hits null. Remove the slow pointer’s next node."
"22","Generate Parentheses","backtracking_with_constraints","","Recursively build parentheses strings, tracking '(' and ')' usage. Only add ')' when valid."
"24","Swap Nodes in Pairs","linked_list_node_swaps","linkedlist","Swap every two adjacent nodes in the list. Update pointers carefully to maintain linkage."
"29","Divide Two Integers","math,bit_manipulation","","Simulate division by repeated subtraction or shifting. Handle overflow and sign properly."
"31","Next Permutation","permutation_rearrangement","","From the end, find the first decreasing pair. Swap with next larger element and reverse the suffix."
"33","Search in Rotated Sorted Array","binary_search_variant","","Identify which half is sorted based on mid vs boundaries. Narrow the search range accordingly."
"34","Find First and Last Position of Element in Sorted Array","binary_search_boundaries","","Use binary search to find the leftmost occurrence, then another to find the rightmost. Return [-1,-1] if not found."
"36","Valid Sudoku","hash_sets_for_row_col_box","set","For each row, column, and sub-box, ensure no duplicate digits. Use sets or direct boolean checks."
"38","Count and Say","string_generation_pattern","","Iteratively build the next sequence by describing the previous term’s consecutive digits."
"40","Combination Sum II","backtracking_with_sorted_input","","Sort, then backtrack while skipping duplicates. Only take each candidate once at a given level."
"43","Multiply Strings","string_multiplication_simulation","","Multiply each digit of one string by each digit of the other, summing partial products. Handle carry and leading zeros."
"46","Permutations","backtracking,swapping","","Recursively choose each element as the first, swap, and generate permutations of the remainder."
"48","Rotate Image","matrix_transpose,reverse","","Transpose the matrix, then reverse each row to rotate 90 degrees in-place."
"49","Group Anagrams","hashing_by_sorted_key_or_char_count","map","Sort each string or build a frequency key, store in a map from key to group of anagrams."
"50","Pow(x, n)","fast_exponentiation","","Recursively divide n by 2, square the result. Handle odd exponents separately."
"53","Maximum Subarray","kadanes_algorithm","","Iterate while keeping track of the current sum, reset if it drops below zero. Maintain max sum encountered."
